logth logp Brem DY
-7.125 0.525 0.0 0.0
-7.125 0.575 0.0 0.0
-7.125 0.625 0.0 0.0
-7.125 0.675 4.86602e-15 0.0
-7.125 0.725 6.39846e-15 0.0
-7.125 0.775 8.37163e-15 0.0
-7.125 0.825 1.09008e-14 0.0
-7.125 0.875 1.41298e-14 0.0
-7.125 0.925 1.82385e-14 0.0
-7.125 0.975 2.34524e-14 0.0
-7.125 1.025 3.00542e-14 0.0
-7.125 1.075 3.83998e-14 0.0
-7.125 1.125 4.89365e-14 0.0
-7.125 1.175 6.22276e-14 0.0
-7.125 1.225 7.89825e-14 0.0
-7.125 1.275 1.00094e-13 0.0
-7.125 1.325 1.26688e-13 0.0
-7.125 1.375 1.6018e-13 0.0
-7.125 1.425 2.02354e-13 0.0
-7.125 1.475 2.55456e-13 0.0
-7.125 1.525 3.22312e-13 0.0
-7.125 1.575 4.06482e-13 0.0
-7.125 1.625 5.12448e-13 0.0
-7.125 1.675 6.4585e-13 0.0
-7.125 1.725 8.13789e-13 0.0
-7.125 1.775 1.02521e-12 0.0
-7.125 1.825 1.29135e-12 0.0
-7.125 1.875 1.62639e-12 0.0
-7.125 1.925 2.04817e-12 0.0
-7.125 1.975 2.57911e-12 0.0
-7.125 2.025 3.24748e-12 0.0
-7.125 2.075 4.08884e-12 0.0
-7.125 2.125 5.14796e-12 0.0
-7.125 2.175 6.48118e-12 0.0
-7.125 2.225 8.15943e-12 0.0
-7.125 2.275 1.0272e-11 0.0
-7.125 2.325 1.29312e-11 0.0
-7.125 2.375 1.62785e-11 0.0
-7.125 2.425 2.04919e-11 0.0
-7.125 2.475 2.57954e-11 0.0
-7.125 2.525 3.24711e-11 0.0
-7.125 2.575 4.0874e-11 0.0
-7.125 2.625 5.14507e-11 0.0
-7.125 2.675 6.47639e-11 0.0
-7.125 2.725 8.15217e-11 0.0
-7.125 2.775 1.02616e-10 0.0
-7.125 2.825 1.29168e-10 0.0
-7.125 2.875 1.62595e-10 0.0
-7.125 2.925 2.04677e-10 0.0
-7.125 2.975 2.57662e-10 0.0
-7.125 3.025 3.24385e-10 0.0
-7.125 3.075 4.08425e-10 0.0
-7.125 3.125 5.14307e-10 0.0
-7.125 3.175 6.4776e-10 0.0
-7.125 3.225 8.16051e-10 0.0
-7.125 3.275 1.02843e-09 0.0
-7.125 3.325 1.29671e-09 0.0
-7.125 3.375 1.63605e-09 0.0
-7.125 3.425 2.06605e-09 0.0
-7.125 3.475 2.61227e-09 0.0
-7.125 3.525 3.30844e-09 0.0
-7.125 3.575 4.19984e-09 0.0
-7.125 3.625 5.34852e-09 0.0
-7.125 3.675 6.84195e-09 0.0
-7.125 3.725 8.80802e-09 0.0
-7.125 3.775 1.14427e-08 0.0
-7.125 3.825 1.50645e-08 0.0
-7.125 3.875 2.02328e-08 0.0
-7.125 3.925 2.80313e-08 0.0
-7.125 3.975 4.08676e-08 0.0
-7.125 4.025 6.53226e-08 0.0
-7.125 4.075 1.27707e-07 0.0
-7.125 4.125 5.56403e-07 0.0
-7.125 4.175 0.0 0.0
-7.125 4.225 0.0 0.0
-7.125 4.275 0.0 0.0
-7.125 4.325 0.0 0.0
-7.125 4.375 0.0 0.0
-7.125 4.425 0.0 0.0
-7.125 4.475 0.0 0.0
-7.125 4.525 0.0 0.0
-7.125 4.575 0.0 0.0
-7.125 4.625 0.0 0.0
-7.125 4.675 0.0 0.0
-7.125 4.725 0.0 0.0
-7.125 4.775 0.0 0.0
-7.125 4.825 0.0 0.0
-7.125 4.875 0.0 0.0
-7.125 4.925 0.0 0.0
-7.125 4.975 0.0 0.0
-7.075 -1.975 0.0 0.0
-7.075 -1.925 0.0 0.0
-7.075 -1.875 0.0 0.0
-7.075 -1.825 0.0 0.0
-7.075 -1.775 0.0 0.0
-7.075 -1.725 0.0 0.0
-7.075 -1.675 0.0 0.0
-7.075 -1.625 0.0 0.0
-7.075 -1.575 0.0 0.0
-7.075 -1.525 0.0 0.0
-7.075 -1.475 0.0 0.0
-7.075 -1.425 0.0 0.0
-7.075 -1.375 0.0 0.0
-7.075 -1.325 0.0 0.0
-7.075 -1.275 0.0 0.0
-7.075 -1.225 0.0 0.0
-7.075 -1.175 0.0 0.0
-7.075 -1.125 0.0 0.0
-7.075 -1.075 0.0 0.0
-7.075 -1.025 0.0 0.0
-7.075 -0.975 0.0 0.0
-7.075 -0.925 0.0 0.0
-7.075 -0.875 0.0 0.0
-7.075 -0.825 0.0 0.0
-7.075 -0.775 0.0 0.0
-7.075 -0.725 0.0 0.0
-7.075 -0.675 0.0 0.0
-7.075 -0.625 0.0 0.0
-7.075 -0.575 0.0 0.0
-7.075 -0.525 0.0 0.0
-7.075 -0.475 0.0 0.0
-7.075 -0.425 0.0 0.0
-7.075 -0.375 0.0 0.0
-7.075 -0.325 0.0 0.0
-7.075 -0.275 0.0 0.0
-7.075 -0.225 0.0 0.0
-7.075 -0.175 0.0 0.0
-7.075 -0.125 0.0 0.0
-7.075 -0.075 0.0 0.0
-7.075 -0.025 0.0 0.0
-7.075 0.025 0.0 0.0
-7.075 0.075 0.0 0.0
-7.075 0.125 0.0 0.0
-7.075 0.175 0.0 0.0
-7.075 0.225 0.0 0.0
-7.075 0.275 0.0 0.0
-7.075 0.325 0.0 0.0
-7.075 0.375 0.0 0.0
-7.075 0.425 0.0 0.0
-7.075 0.475 0.0 0.0
-7.075 0.525 0.0 0.0
-7.075 0.575 0.0 0.0
-7.075 0.625 0.0 0.0
-7.075 0.675 6.12595e-15 0.0
-7.075 0.725 8.05518e-15 0.0
-7.075 0.775 1.05393e-14 0.0
-7.075 0.825 1.37233e-14 0.0
-7.075 0.875 1.77884e-14 0.0
-7.075 0.925 2.29609e-14 0.0
-7.075 0.975 2.95248e-14 0.0
-7.075 1.025 3.7836e-14 0.0
-7.075 1.075 4.83425e-14 0.0
-7.075 1.125 6.16074e-14 0.0
-7.075 1.175 7.83399e-14 0.0
-7.075 1.225 9.9433e-14 0.0
-7.075 1.275 1.26011e-13 0.0
-7.075 1.325 1.59491e-13 0.0
-7.075 1.375 2.01655e-13 0.0
-7.075 1.425 2.54749e-13 0.0
-7.075 1.475 3.21599e-13 0.0
-7.075 1.525 4.05766e-13 0.0
-7.075 1.575 5.11731e-13 0.0
-7.075 1.625 6.45133e-13 0.0
-7.075 1.675 8.13076e-13 0.0
-7.075 1.725 1.0245e-12 0.0
-7.075 1.775 1.29066e-12 0.0
-7.075 1.825 1.62572e-12 0.0
-7.075 1.875 2.04751e-12 0.0
-7.075 1.925 2.57849e-12 0.0
-7.075 1.975 3.2469e-12 0.0
-7.075 2.025 4.08833e-12 0.0
-7.075 2.075 5.14754e-12 0.0
