logth logp DY Brem
-7.175 4.825 0.0 0.0
-7.175 4.875 0.0 0.0
-7.175 4.925 0.0 0.0
-7.175 4.975 0.0 0.0
-7.125 -1.975 0.0 0.0
-7.125 -1.925 0.0 0.0
-7.125 -1.875 0.0 0.0
-7.125 -1.825 0.0 0.0
-7.125 -1.775 0.0 0.0
-7.125 -1.725 0.0 0.0
-7.125 -1.675 0.0 0.0
-7.125 -1.625 0.0 0.0
-7.125 -1.575 0.0 0.0
-7.125 -1.525 0.0 0.0
-7.125 -1.475 0.0 0.0
-7.125 -1.425 0.0 0.0
-7.125 -1.375 0.0 0.0
-7.125 -1.325 0.0 0.0
-7.125 -1.275 0.0 0.0
-7.125 -1.225 0.0 0.0
-7.125 -1.175 0.0 0.0
-7.125 -1.125 0.0 0.0
-7.125 -1.075 0.0 0.0
-7.125 -1.025 0.0 0.0
-7.125 -0.975 0.0 0.0
-7.125 -0.925 0.0 0.0
-7.125 -0.875 0.0 0.0
-7.125 -0.825 0.0 0.0
-7.125 -0.775 0.0 0.0
-7.125 -0.725 0.0 0.0
-7.125 -0.675 0.0 0.0
-7.125 -0.625 0.0 0.0
-7.125 -0.575 0.0 0.0
-7.125 -0.525 0.0 0.0
-7.125 -0.475 0.0 0.0
-7.125 -0.425 0.0 0.0
-7.125 -0.375 0.0 0.0
-7.125 -0.325 0.0 0.0
-7.125 -0.275 0.0 0.0
-7.125 -0.225 0.0 0.0
-7.125 -0.175 0.0 0.0
-7.125 -0.125 0.0 0.0
-7.125 -0.075 0.0 0.0
-7.125 -0.025 0.0 0.0
-7.125 0.025 0.0 0.0
-7.125 0.075 0.0 0.0
-7.125 0.125 0.0 0.0
-7.125 0.175 0.0 0.0
-7.125 0.225 0.0 0.0
-7.125 0.275 0.0 1.72427e-11
-7.125 0.325 0.0 2.26729e-11
-7.125 0.375 0.0 2.96649e-11
-7.125 0.425 0.0 3.86271e-11
-7.125 0.475 0.0 5.00693e-11
-7.125 0.525 0.0 6.46289e-11
-7.125 0.575 0.0 8.31047e-11
-7.125 0.625 0.0 1.06499e-10
-7.125 0.675 0.0 1.36073e-10
-7.125 0.725 0.0 1.73412e-10
-7.125 0.775 0.0 2.20512e-10
-7.125 0.825 0.0 2.79887e-10
-7.125 0.875 0.0 3.54703e-10
-7.125 0.925 0.0 4.48948e-10
-7.125 0.975 0.0 5.67641e-10
-7.125 1.025 0.0 7.17105e-10
-7.125 1.075 0.0 9.05299e-10
-7.125 1.125 0.0 1.14225e-09
-7.125 1.175 0.0 1.44056e-09
-7.125 1.225 0.0 1.81614e-09
-7.125 1.275 0.0 2.28897e-09
-7.125 1.325 0.0 2.88424e-09
-7.125 1.375 0.0 3.63365e-09
-7.125 1.425 0.0 4.57709e-09
-7.125 1.475 0.0 5.76482e-09
-7.125 1.525 0.0 7.26008e-09
-7.125 1.575 0.0 9.14248e-09
-7.125 1.625 0.0 1.15123e-08
-7.125 1.675 0.0 1.44956e-08
-7.125 1.725 0.0 1.82514e-08
-7.125 1.775 0.0 2.29796e-08
-7.125 1.825 0.0 2.8932e-08
-7.125 1.875 0.0 3.64255e-08
-7.125 1.925 0.0 4.58591e-08
-7.125 1.975 0.0 5.77351e-08
-7.125 2.025 0.0 7.26858e-08
-7.125 2.075 0.0 9.15071e-08
-7.125 2.125 0.0 1.15201e-07
-7.125 2.175 0.0 1.45029e-07
-7.125 2.225 0.0 1.8258e-07
-7.125 2.275 0.0 2.29851e-07
-7.125 2.325 0.0 2.89359e-07
-7.125 2.375 0.0 3.64273e-07
-7.125 2.425 0.0 4.58578e-07
-7.125 2.475 0.0 5.77295e-07
-7.125 2.525 0.0 7.26741e-07
-7.125 2.575 0.0 9.1487e-07
-7.125 2.625 0.0 1.15169e-06
-7.125 2.675 0.0 1.44981e-06
-7.125 2.725 0.0 1.82507e-06
-7.125 2.775 0.0 2.29745e-06
-7.125 2.825 0.0 2.89208e-06
-7.125 2.875 0.0 3.64056e-06
-7.125 2.925 0.0 4.58271e-06
-7.125 2.975 0.0 5.76862e-06
-7.125 3.025 0.0 7.26132e-06
-7.125 3.075 0.0 9.14015e-06
-7.125 3.125 0.0 1.1505e-05
-7.125 3.175 0.0 1.44814e-05
-7.125 3.225 0.0 1.82276e-05
-7.125 3.275 0.0 2.29424e-05
-7.125 3.325 0.0 2.88764e-05
-7.125 3.375 0.0 3.63446e-05
-7.125 3.425 0.0 4.57436e-05
-7.125 3.475 0.0 5.75725e-05
-7.125 3.525 0.0 7.24596e-05
-7.125 3.575 0.0 9.11958e-05
-7.125 3.625 0.0 0.000114777
-7.125 3.675 0.0 0.000144459
-7.125 3.725 0.0 0.000181822
-7.125 3.775 0.0 0.000228861
-7.125 3.825 0.0 0.000288097
-7.125 3.875 0.0 0.000362715
-7.125 3.925 0.0 0.000456753
-7.125 3.975 0.0 0.000575341
-7.125 4.025 0.0 0.00072503
-7.125 4.075 0.0 0.000914224
-7.125 4.125 0.0 0.0011538
-7.125 4.175 0.0 0.001458
