logth logp Brem_QRA_L2.0 Brem_FWW Brem_QRA_L1.0 Brem_QRA_L1.5
-7.375 -0.525 0.0 0.0 0.0 0.0
-7.375 -0.475 0.0 0.0 0.0 0.0
-7.375 -0.425 0.0 0.0 0.0 0.0
-7.375 -0.375 0.0 0.0 0.0 0.0
-7.375 -0.325 0.0 0.0 0.0 0.0
-7.375 -0.275 0.0 0.0 0.0 0.0
-7.375 -0.225 0.0 0.0 0.0 0.0
-7.375 -0.175 0.0 0.0 0.0 0.0
-7.375 -0.125 0.0 4.488047958970274e-08 0.0 0.0
-7.375 -0.075 0.0 5.90146295897883e-08 0.0 0.0
-7.375 -0.025 0.0 7.721385679122909e-08 0.0 0.0
-7.375 0.025 0.0 1.0054126503198319e-07 0.0 0.0
-7.375 0.075 0.0 1.3032367382312581e-07 0.0 0.0
-7.375 0.125 0.0 1.6822023121367168e-07 0.0 0.0
-7.375 0.175 0.0 2.1630989638199836e-07 0.0 0.0
-7.375 0.225 0.0 2.7720237122654795e-07 0.0 0.0
-7.375 0.275 0.0 3.541781328076462e-07 0.0 0.0
-7.375 0.325 0.0 4.51364688883704e-07 0.0 0.0
-7.375 0.375 0.0 5.739581220790299e-07 0.0 0.0
-7.375 0.425 0.0 7.285014745942843e-07 0.0 0.0
-7.375 0.475 0.0 9.232346466764689e-07 0.0 0.0
-7.375 0.525 0.0 1.16853437406928e-06 0.0 0.0
-7.375 0.575 0.0 1.4774677051115128e-06 0.0 0.0
-7.375 0.625 0.0 1.8664884740621072e-06 0.0 0.0
-7.375 0.675 0.0 2.356313892464987e-06 0.0 0.0
-7.375 0.725 1.2308495838751324e-13 2.9730279679145564e-06 4.808094240809024e-16 1.2322558533706018e-14
-7.375 0.775 2.4567769988317114e-13 3.749470525611515e-06 9.597006457069816e-16 2.459592426329728e-14
-7.375 0.825 4.903947040991378e-13 4.726985798416642e-06 1.9156599372884075e-15 4.9095882835528714e-14
-7.375 0.875 9.78920336208784e-13 5.957623675578264e-06 3.8240473840954755e-15 9.800518136443438e-14
-7.375 0.925 1.9542179329360707e-12 7.506910776297925e-06 7.634015292195019e-15 1.9564902241268193e-13
-7.375 0.975 3.901445102457813e-12 9.457338821095994e-06 1.524090362091724e-14 3.906015560396038e-13
-7.375 1.025 7.789471132849313e-12 1.1912755920810577e-05 3.042984354348445e-14 7.798681839804201e-13
-7.375 1.075 1.5553346473945494e-11 1.5003894414506773e-05 6.076084710638844e-14 1.557195268865262e-12
-7.375 1.125 3.1058245782281884e-11 1.8895329310252632e-05 1.213353250796907e-13 3.109594124472776e-12
-7.375 1.175 6.202565933902604e-11 2.3794237419616217e-05 2.423230792499046e-13 6.210230108304922e-12
-7.375 1.225 1.2388304109681473e-10 2.9961422955482934e-05 4.840070565604982e-13 1.2403954156259929e-11
-7.375 1.275 2.4745907477942976e-10 3.772519574674582e-05 9.668607758470677e-13 2.4778030795307053e-11
-7.375 1.325 4.943693062542365e-10 4.749883967616543e-05 1.931693271674563e-12 4.9503276091988515e-11
